PROPERTY TYPE,CITY,ZIP OR POSTAL CODE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,PRICE,sq_zp,ls_zp
Multi-Family (2-4 Unit),Bayside,11360.0,5.0,3.0,2714.0,3200.0,1970.0,2.0,1488000.0,0.23890845070422534,0.28169014084507044
Multi-Family (2-4 Unit),Bellerose,11426.0,5.0,3.0,2836.0,2200.0,1965.0,2.0,1088000.0,0.24820584631542097,0.1925433222475057
Townhouse,Staten Island,10307.0,3.0,2.5,2700.0,2700.0,2005.0,2.0,1174999.0,0.26195789269428543,0.26195789269428543
Multi-Family (2-4 Unit),Forest Hills,11375.0,6.0,4.0,3600.0,2921.0,1991.0,2.0,1850000.0,0.31648351648351647,0.2567912087912088
Single Family Residential,Staten Island,10309.0,4.0,3.5,3588.0,6000.0,2014.0,2.0,1999999.0,0.3480453972257251,0.5820157144242895
Condo/Co-op,Forest Hills,11375.0,1.0,1.0,873.0,18910.0,1938.0,10.0,485000.0,0.07674725274725275,1.6624175824175824
Single Family Residential,Rosedale,11422.0,4.0,1.5,1260.0,4000.0,1945.0,30.0,699000.0,0.11031343022237787,0.35020136578532657
Single Family Residential,Bayside,11361.0,3.0,1.5,1451.0,2500.0,1925.0,50.0,1188000.0,0.12771763049027374,0.22005105184402782
Single Family Residential,Jamaica,11434.0,3.0,1.0,1050.0,3450.0,1962.0,73.0,710000.0,0.09183138009445513,0.3017316774532097
Single Family Residential,Queens Village,11429.0,3.0,3.0,1628.0,4000.0,1925.0,78.0,760000.0,0.1424446583253128,0.34998687549216906
Multi-Family (2-4 Unit),Midwood,11210.0,5.0,2.5,2702.0,2500.0,1915.0,85.0,1588888.0,0.24103479036574488,0.22301516503122212
Multi-Family (2-4 Unit),Jamaica,11435.0,2.0,2.0,1290.0,2200.0,1930.0,101.0,749000.0,0.11281154350677744,0.19239177962396153
Townhouse,Bedford-stuyvesant,11206.0,4.0,1.5,1428.0,1400.0,2000.0,105.0,995000.0,0.1274317330001785,0.12493307156880243
Multi-Family (2-4 Unit),Cambria Heights,11411.0,6.0,3.0,2100.0,4100.0,1950.0,1.0,999999.0,0.18403295066164227,0.35930242748225394
Multi-Family (2-4 Unit),Bronx,10466.0,6.0,4.0,3000.0,3023.0,1930.0,1.0,1250000.0,0.2866424613032677,0.28884005350659275
Multi-Family (2-4 Unit),Bronx,10467.0,4.0,2.0,1476.0,2801.0,1930.0,1.0,865000.0,0.1410146173688736,0.26760294258144646
Multi-Family (2-4 Unit),Wakefield,10466.0,4.0,2.0,1200.0,1656.0,1940.0,1.0,639900.0,0.11465698452130708,0.15822663863940378
Multi-Family (2-4 Unit),Brooklyn,11214.0,3.0,2.0,1680.0,2762.0,1955.0,1.0,1298000.0,0.149812734082397,0.2462992687711789
Single Family Residential,Staten Island,10314.0,2.0,1.5,1649.0,1649.0,1986.0,1.0,525000.0,0.15987977506302115,0.15987977506302115
Single Family Residential,Jamaica Estates,11432.0,5.0,3.0,2219.0,7354.0,1925.0,1.0,2150000.0,0.1941042687193842,0.6432820153953814
Single Family Residential,Bronx,10461.0,5.0,2.5,2088.0,4583.0,1901.0,1.0,779000.0,0.19959850874677373,0.4381034317942835
Single Family Residential,Staten Island,10314.0,4.0,2.5,1334.0,667.0,1988.0,1.0,519900.0,0.12933876284661625,0.06466938142330812
Multi-Family (2-4 Unit),Bronx,10469.0,4.0,2.5,1692.0,2100.0,1965.0,1.0,799000.0,0.16162002101442355,0.20059222466329163
Townhouse,Staten Island,10312.0,4.0,4.0,2800.0,4000.0,1998.0,1.0,1179000.0,0.27152831652443754,0.3878975950349108
Single Family Residential,Whitestone,11357.0,4.0,3.5,1720.0,2600.0,1930.0,1.0,1150000.0,0.15144844589240117,0.22893369727921106
Single Family Residential,Bayside,11364.0,4.0,2.5,1344.0,4000.0,1940.0,1.0,1350000.0,0.11826821541710665,0.3519887363604365
Single Family Residential,Saint Albans,11412.0,3.0,1.0,1300.0,4000.0,1925.0,1.0,699000.0,0.11391517700665965,0.3505082369435682
Multi-Family (2-4 Unit),Brooklyn,11229.0,3.0,2.0,1540.0,2833.0,1955.0,1.0,919900.0,0.13714489268857422,0.2522931694719031
Multi-Family (2-4 Unit),Brooklyn,11228.0,7.0,5.0,3520.0,3000.0,1920.0,1.0,2688000.0,0.3135019593872462,0.26718916993231207
Townhouse,Queens Village,11429.0,3.0,1.5,1504.0,1799.0,1950.0,1.0,650000.0,0.13159506518505557,0.15740659725260303
Single Family Residential,Laurelton,11413.0,4.0,3.0,1188.0,4300.0,1950.0,1.0,669990.0,0.1040918251117147,0.37676334005081924
Multi-Family (2-4 Unit),Oakland Gardens,11364.0,7.0,5.0,3428.0,3498.0,1965.0,1.0,1590000.0,0.30165434706089406,0.3078141499472017
Single Family Residential,Douglaston,11363.0,3.0,2.0,1800.0,9900.0,1930.0,1.0,888000.0,0.15840887089677022,0.8712487899322362
Multi-Family (2-4 Unit),Brooklyn,11219.0,6.0,2.0,3240.0,1872.0,1910.0,1.0,1999000.0,0.28879579285141277,0.16685979142526072
Townhouse,Staten Island,10314.0,4.0,2.5,2564.0,5437.0,1975.0,1.0,1148000.0,0.248594143882102,0.5271475664145822
Condo/Co-op,Staten Island,10314.0,1.0,1.0,754.0,753.0,1979.0,1.0,399000.0,0.07310451813069614,0.07300756253635834
Single Family Residential,Staten Island,10304.0,3.0,2.5,1288.0,2300.0,2006.0,1.0,680000.0,0.125,0.22321428571428573
Condo/Co-op,Staten Island,10314.0,1.0,1.0,695.0,695.0,1985.0,1.0,369900.0,0.06738413806476634,0.06738413806476634
Single Family Residential,Staten  Island,10306.0,3.0,2.0,1500.0,2500.0,2019.0,1.0,850000.0,0.1455462837182224,0.24257713953037066
Townhouse,Staten Island,10310.0,3.0,2.5,1445.0,3000.0,2002.0,1.0,399000.0,0.14015518913676042,0.2909796314258002
Multi-Family (2-4 Unit),Ozone Park,11417.0,5.0,3.0,1632.0,2007.0,1930.0,1.0,975000.0,0.14294473154068493,0.17579048786896734
Multi-Family (5+ Unit),Staten Island,10310.0,9.0,18.0,4778.0,12400.0,1931.0,1.0,2225000.0,0.46343355965082444,1.2027158098933075
Multi-Family (2-4 Unit),East New York,11207.0,9.0,4.5,3000.0,2000.0,1910.0,1.0,988000.0,0.2676898367091996,0.1784598911394664
Single Family Residential,Staten Island,10305.0,3.0,1.5,1432.0,1122.0,1991.0,1.0,549000.0,0.13896166909267346,0.10887918486171762
Condo/Co-op,Borough Park,11219.0,3.0,2.0,1207.0,4007.0,2012.0,1.0,929000.0,0.10758534628754791,0.3571619573937071
Multi-Family (2-4 Unit),Woodhaven,11421.0,5.0,3.0,2145.0,4000.0,1910.0,1.0,998000.0,0.1878119254005779,0.35023202871902637
Multi-Family (2-4 Unit),Bronx,10457.0,7.0,4.5,3045.0,1664.0,2001.0,1.0,989000.0,0.29119250262981733,0.15912785693793632
Multi-Family (2-4 Unit),East New York,11208.0,7.0,4.0,2376.0,1688.0,1901.0,1.0,1175000.0,0.21199143468950749,0.15060670949321914
Multi-Family (2-4 Unit),Brooklyn,11223.0,5.0,2.0,1800.0,1499.0,1927.0,1.0,1190000.0,0.16038492381716118,0.13356500044551367
Townhouse,Staten Island,10303.0,2.0,2.0,988.0,7350.0,1940.0,1.0,469000.0,0.09589439968941085,0.7133844511307387
Condo/Co-op,Flushing,11355.0,2.0,1.0,831.0,51795.0,1986.0,1.0,850000.0,0.07318361955085866,4.561426684280053
Condo/Co-op,Long Island City,11101.0,2.0,2.0,844.0,10050.0,2017.0,1.0,1395000.0,0.0760291865597694,0.9053238446986758
Multi-Family (2-4 Unit),Bronx,10458.0,7.0,3.0,2112.0,1316.0,1901.0,1.0,899000.0,0.2019506597819851,0.12583668005354753
Single Family Residential,Staten Island,10304.0,4.0,3.5,5400.0,12475.0,1998.0,1.0,2688000.0,0.5240683229813664,1.2106948757763976
Single Family Residential,Staten Island,10307.0,3.0,2.5,2400.0,5850.0,1994.0,1.0,1149000.0,0.23285146017269817,0.5675754341709518
Single Family Residential,College Point,11356.0,3.0,2.0,1296.0,4988.0,1945.0,1.0,899000.0,0.11412469179288481,0.43923916872138075
Single Family Residential,Staten Island,10304.0,4.0,3.0,3000.0,8880.0,1960.0,1.0,1549000.0,0.2911490683229814,0.8618012422360248
Single Family Residential,Staten Island,10312.0,4.0,3.0,1510.0,560.0,1996.0,1.0,508888.0,0.14643134212567882,0.05430566330488751
Multi-Family (2-4 Unit),Brooklyn,11223.0,12.0,4.0,3600.0,2000.0,1931.0,1.0,1788000.0,0.32076984763432237,0.17820547090795688
Single Family Residential,Cambria Heights,11411.0,5.0,1.5,1300.0,3000.0,1930.0,1.0,749000.0,0.1139251599333976,0.26290421523091756
Single Family Residential,Bronx,10471.0,5.0,3.0,2049.0,2827.0,1925.0,1.0,1099000.0,0.1956833158246586,0.26998376468341134
Multi-Family (2-4 Unit),Bronx,10460.0,8.0,6.0,2812.0,2500.0,2003.0,1.0,1350000.0,0.2688336520076482,0.2390057361376673
Single Family Residential,Staten Island,10312.0,3.0,2.0,980.0,4100.0,1970.0,1.0,798000.0,0.09503491078355314,0.3975950349107836
Condo/Co-op,Oakland Gardens,11364.0,6.0,4.5,3637.0,80480.0,1978.0,1.0,1588000.0,0.32004575853572687,7.082013375571981
Townhouse,Staten Island,10307.0,4.0,2.0,2288.0,4444.0,1901.0,1.0,729000.0,0.22198505869797225,0.4311632870864461
Multi-Family (2-4 Unit),Yonkers,10705.0,3.0,2.0,2604.0,5227.0,1936.0,1.0,699000.0,0.24325081737505838,0.48827650630546476
Single Family Residential,Staten Island,10314.0,2.0,2.5,1100.0,3040.0,1915.0,1.0,698125.0,0.10665115377157262,0.2947450067868916
Single Family Residential,Jamaica,11433.0,2.0,2.0,1300.0,3000.0,1955.0,1.0,559000.0,0.1137059389486574,0.26239832065074786
Single Family Residential,Saint Albans,11412.0,3.0,2.5,1350.0,1800.0,1940.0,1.0,749000.0,0.11829652996845426,0.15772870662460567
Single Family Residential,Staten Island,10303.0,2.0,1.5,1404.0,980.0,1992.0,1.0,459999.0,0.13627098903232068,0.09511792681743182
Multi-Family (2-4 Unit),Flushing,11368.0,7.0,5.0,3150.0,1583.0,2003.0,1.0,1499000.0,0.2770935960591133,0.13925052779732583
Single Family Residential,Brooklyn,11228.0,3.0,2.5,1440.0,3303.0,1915.0,1.0,1350000.0,0.1282508015675098,0.2941752760954756
Multi-Family (2-4 Unit),Brooklyn,11214.0,6.0,4.0,3120.0,4495.0,1935.0,1.0,1575000.0,0.2782236490101659,0.4008382379168896
Single Family Residential,Bellerose,11426.0,4.0,3.0,2102.0,4040.0,1945.0,1.0,900000.0,0.18396639243829863,0.353579555399965
Multi-Family (2-4 Unit),Bronx,10469.0,5.0,2.0,2034.0,1847.0,1945.0,1.0,695000.0,0.1942878976024453,0.17642563759671412
Condo/Co-op,Corona,11368.0,2.0,1.0,680.0,2500.0,2006.0,1.0,439000.0,0.059817030260380016,0.2199155524278677
Single Family Residential,Bronx,10465.0,3.0,2.5,1728.0,2520.0,1950.0,1.0,749999.0,0.16512183468705208,0.2408026755852843
Single Family Residential,Woodhaven,11421.0,3.0,2.5,1336.0,2000.0,1920.0,1.0,768000.0,0.1169774975921548,0.17511601435951318
Multi-Family (2-4 Unit),Fresh Meadows,11366.0,4.0,2.5,1800.0,2200.0,1940.0,1.0,1188000.0,0.15836705965159248,0.19355973957416858
Multi-Family (2-4 Unit),Brooklyn,11223.0,8.0,4.5,3135.0,2100.0,1965.0,1.0,2100000.0,0.2793370756482224,0.18711574445335472
Single Family Residential,Staten Island,10309.0,3.0,1.5,1440.0,1600.0,1988.0,1.0,539900.0,0.13968377146182948,0.15520419051314385
Single Family Residential,Staten Island,10301.0,4.0,4.5,6000.0,13200.0,1992.0,2.0,2890000.0,0.582467721580429,1.281428987476944
Townhouse,Staten Island,10308.0,5.0,4.0,2470.0,2799.0,1985.0,2.0,999000.0,0.2396197128443927,0.27153667054714786
Multi-Family (2-4 Unit),Bronx,10461.0,7.0,4.0,2750.0,2226.0,1925.0,2.0,1250000.0,0.2628811777076761,0.21279036420992256
Townhouse,Staten Island,10309.0,3.0,2.5,1832.0,2835.0,1999.0,2.0,735000.0,0.17770879813754972,0.2750024250654768
Multi-Family (2-4 Unit),Bayside,11361.0,4.0,4.5,1598.0,2500.0,2005.0,2.0,1430000.0,0.14065663233870257,0.22005105184402782
Multi-Family (2-4 Unit),Fort Greene,11238.0,7.0,7.0,4700.0,2000.0,1931.0,2.0,4300000.0,0.4182238832532479,0.1779676098949991
Single Family Residential,Queens Village,11427.0,3.0,1.5,1300.0,3000.0,1930.0,2.0,725000.0,0.11376564277588168,0.26253609871357314
Multi-Family (2-4 Unit),Bronx,10465.0,4.0,4.0,3400.0,2500.0,1930.0,2.0,1375000.0,0.3248924988055423,0.23889154323936931
Condo/Co-op,Elmhurst,11373.0,1.0,1.0,495.0,4000.0,2007.0,2.0,488000.0,0.04352413611184384,0.3517101908027785
Single Family Residential,Far Rockaway,11691.0,2.0,1.0,525.0,1825.0,1905.0,2.0,580000.0,0.04490633820887863,0.15610298520229235
Townhouse,Staten Island,10305.0,6.0,4.5,2187.0,4704.0,1970.0,2.0,1100000.0,0.21222707423580786,0.4564774381368268
Multi-Family (2-4 Unit),Brooklyn,11204.0,4.0,3.0,1440.0,1800.0,1925.0,2.0,1180000.0,0.12852552659764369,0.16065690824705461
Condo/Co-op,New York,10023.0,2.0,2.0,1209.0,14109.0,1987.0,2.0,1900000.0,0.12062256809338522,1.407662376533972
Single Family Residential,Whitestone,11357.0,3.0,3.5,3605.0,4100.0,1960.0,2.0,1890000.0,0.31742537641982915,0.36101083032490977
Multi-Family (2-4 Unit),Bushwick,11207.0,6.0,3.5,3960.0,1672.0,1905.0,2.0,1800000.0,0.3533505844561435,0.14919246899259392
Multi-Family (2-4 Unit),Cypress Hills,11208.0,3.0,2.5,2000.0,2500.0,1930.0,2.0,1150000.0,0.17844396859386152,0.22305496074232692
Single Family Residential,Bayside,11360.0,4.0,3.0,1900.0,4550.0,1960.0,2.0,1298000.0,0.16725352112676056,0.4005281690140845
Multi-Family (2-4 Unit),Bronx,10470.0,4.0,2.0,1968.0,2500.0,1925.0,2.0,700000.0,0.18796561604584527,0.2387774594078319
Multi-Family (2-4 Unit),Bayside,11360.0,5.0,3.0,2714.0,3200.0,1970.0,2.0,1488000.0,0.23890845070422534,0.28169014084507044
Multi-Family (2-4 Unit),Bellerose,11426.0,5.0,3.0,2836.0,2200.0,1965.0,2.0,1088000.0,0.24820584631542097,0.1925433222475057
Townhouse,Staten Island,10307.0,3.0,2.5,2700.0,2700.0,2005.0,2.0,1174999.0,0.26195789269428543,0.26195789269428543
Multi-Family (2-4 Unit),Forest Hills,11375.0,6.0,4.0,3600.0,2921.0,1991.0,2.0,1850000.0,0.31648351648351647,0.2567912087912088
Single Family Residential,Staten Island,10309.0,4.0,3.5,3588.0,6000.0,2014.0,2.0,1999999.0,0.3480453972257251,0.5820157144242895
Condo/Co-op,Forest Hills,11375.0,1.0,1.0,873.0,18910.0,1938.0,10.0,485000.0,0.07674725274725275,1.6624175824175824
Single Family Residential,Rosedale,11422.0,4.0,1.5,1260.0,4000.0,1945.0,30.0,699000.0,0.11031343022237787,0.35020136578532657
Single Family Residential,Bayside,11361.0,3.0,1.5,1451.0,2500.0,1925.0,50.0,1188000.0,0.12771763049027374,0.22005105184402782
Single Family Residential,Jamaica,11434.0,3.0,1.0,1050.0,3450.0,1962.0,73.0,710000.0,0.09183138009445513,0.3017316774532097
Single Family Residential,Queens Village,11429.0,3.0,3.0,1628.0,4000.0,1925.0,78.0,760000.0,0.1424446583253128,0.34998687549216906
Multi-Family (2-4 Unit),Midwood,11210.0,5.0,2.5,2702.0,2500.0,1915.0,85.0,1588888.0,0.24103479036574488,0.22301516503122212
Multi-Family (2-4 Unit),Jamaica,11435.0,2.0,2.0,1290.0,2200.0,1930.0,101.0,749000.0,0.11281154350677744,0.19239177962396153
Townhouse,Bedford-stuyvesant,11206.0,4.0,1.5,1428.0,1400.0,2000.0,105.0,995000.0,0.1274317330001785,0.12493307156880243
Multi-Family (2-4 Unit),Cambria Heights,11411.0,6.0,3.0,2100.0,4100.0,1950.0,1.0,999999.0,0.18403295066164227,0.35930242748225394
Multi-Family (2-4 Unit),Bronx,10466.0,6.0,4.0,3000.0,3023.0,1930.0,1.0,1250000.0,0.2866424613032677,0.28884005350659275
Multi-Family (2-4 Unit),Bronx,10467.0,4.0,2.0,1476.0,2801.0,1930.0,1.0,865000.0,0.1410146173688736,0.26760294258144646
Multi-Family (2-4 Unit),Wakefield,10466.0,4.0,2.0,1200.0,1656.0,1940.0,1.0,639900.0,0.11465698452130708,0.15822663863940378
Multi-Family (2-4 Unit),Brooklyn,11214.0,3.0,2.0,1680.0,2762.0,1955.0,1.0,1298000.0,0.149812734082397,0.2462992687711789
Single Family Residential,Staten Island,10314.0,2.0,1.5,1649.0,1649.0,1986.0,1.0,525000.0,0.15987977506302115,0.15987977506302115
Single Family Residential,Jamaica Estates,11432.0,5.0,3.0,2219.0,7354.0,1925.0,1.0,2150000.0,0.1941042687193842,0.6432820153953814
Single Family Residential,Bronx,10461.0,5.0,2.5,2088.0,4583.0,1901.0,1.0,779000.0,0.19959850874677373,0.4381034317942835
Single Family Residential,Staten Island,10314.0,4.0,2.5,1334.0,667.0,1988.0,1.0,519900.0,0.12933876284661625,0.06466938142330812
Multi-Family (2-4 Unit),Bronx,10469.0,4.0,2.5,1692.0,2100.0,1965.0,1.0,799000.0,0.16162002101442355,0.20059222466329163
Townhouse,Staten Island,10312.0,4.0,4.0,2800.0,4000.0,1998.0,1.0,1179000.0,0.27152831652443754,0.3878975950349108
Single Family Residential,Whitestone,11357.0,4.0,3.5,1720.0,2600.0,1930.0,1.0,1150000.0,0.15144844589240117,0.22893369727921106
Single Family Residential,Bayside,11364.0,4.0,2.5,1344.0,4000.0,1940.0,1.0,1350000.0,0.11826821541710665,0.3519887363604365
Single Family Residential,Saint Albans,11412.0,3.0,1.0,1300.0,4000.0,1925.0,1.0,699000.0,0.11391517700665965,0.3505082369435682
Multi-Family (2-4 Unit),Brooklyn,11229.0,3.0,2.0,1540.0,2833.0,1955.0,1.0,919900.0,0.13714489268857422,0.2522931694719031
Multi-Family (2-4 Unit),Brooklyn,11228.0,7.0,5.0,3520.0,3000.0,1920.0,1.0,2688000.0,0.3135019593872462,0.26718916993231207
Townhouse,Queens Village,11429.0,3.0,1.5,1504.0,1799.0,1950.0,1.0,650000.0,0.13159506518505557,0.15740659725260303
Single Family Residential,Laurelton,11413.0,4.0,3.0,1188.0,4300.0,1950.0,1.0,669990.0,0.1040918251117147,0.37676334005081924
Multi-Family (2-4 Unit),Oakland Gardens,11364.0,7.0,5.0,3428.0,3498.0,1965.0,1.0,1590000.0,0.30165434706089406,0.3078141499472017
Single Family Residential,Douglaston,11363.0,3.0,2.0,1800.0,9900.0,1930.0,1.0,888000.0,0.15840887089677022,0.8712487899322362
Multi-Family (2-4 Unit),Brooklyn,11219.0,6.0,2.0,3240.0,1872.0,1910.0,1.0,1999000.0,0.28879579285141277,0.16685979142526072
Townhouse,Staten Island,10314.0,4.0,2.5,2564.0,5437.0,1975.0,1.0,1148000.0,0.248594143882102,0.5271475664145822
Condo/Co-op,Staten Island,10314.0,1.0,1.0,754.0,753.0,1979.0,1.0,399000.0,0.07310451813069614,0.07300756253635834
Single Family Residential,Staten Island,10304.0,3.0,2.5,1288.0,2300.0,2006.0,1.0,680000.0,0.125,0.22321428571428573
Condo/Co-op,Staten Island,10314.0,1.0,1.0,695.0,695.0,1985.0,1.0,369900.0,0.06738413806476634,0.06738413806476634
Single Family Residential,Staten  Island,10306.0,3.0,2.0,1500.0,2500.0,2019.0,1.0,850000.0,0.1455462837182224,0.24257713953037066
Townhouse,Staten Island,10310.0,3.0,2.5,1445.0,3000.0,2002.0,1.0,399000.0,0.14015518913676042,0.2909796314258002
Multi-Family (2-4 Unit),Ozone Park,11417.0,5.0,3.0,1632.0,2007.0,1930.0,1.0,975000.0,0.14294473154068493,0.17579048786896734
Multi-Family (5+ Unit),Staten Island,10310.0,9.0,18.0,4778.0,12400.0,1931.0,1.0,2225000.0,0.46343355965082444,1.2027158098933075
Multi-Family (2-4 Unit),East New York,11207.0,9.0,4.5,3000.0,2000.0,1910.0,1.0,988000.0,0.2676898367091996,0.1784598911394664
Single Family Residential,Staten Island,10305.0,3.0,1.5,1432.0,1122.0,1991.0,1.0,549000.0,0.13896166909267346,0.10887918486171762
Condo/Co-op,Borough Park,11219.0,3.0,2.0,1207.0,4007.0,2012.0,1.0,929000.0,0.10758534628754791,0.3571619573937071
Multi-Family (2-4 Unit),Woodhaven,11421.0,5.0,3.0,2145.0,4000.0,1910.0,1.0,998000.0,0.1878119254005779,0.35023202871902637
Multi-Family (2-4 Unit),Bronx,10457.0,7.0,4.5,3045.0,1664.0,2001.0,1.0,989000.0,0.29119250262981733,0.15912785693793632
Multi-Family (2-4 Unit),East New York,11208.0,7.0,4.0,2376.0,1688.0,1901.0,1.0,1175000.0,0.21199143468950749,0.15060670949321914
Multi-Family (2-4 Unit),Brooklyn,11223.0,5.0,2.0,1800.0,1499.0,1927.0,1.0,1190000.0,0.16038492381716118,0.13356500044551367
Townhouse,Staten Island,10303.0,2.0,2.0,988.0,7350.0,1940.0,1.0,469000.0,0.09589439968941085,0.7133844511307387
Condo/Co-op,Flushing,11355.0,2.0,1.0,831.0,51795.0,1986.0,1.0,850000.0,0.07318361955085866,4.561426684280053
Condo/Co-op,Long Island City,11101.0,2.0,2.0,844.0,10050.0,2017.0,1.0,1395000.0,0.0760291865597694,0.9053238446986758
Multi-Family (2-4 Unit),Bronx,10458.0,7.0,3.0,2112.0,1316.0,1901.0,1.0,899000.0,0.2019506597819851,0.12583668005354753
Single Family Residential,Staten Island,10304.0,4.0,3.5,5400.0,12475.0,1998.0,1.0,2688000.0,0.5240683229813664,1.2106948757763976
Single Family Residential,Staten Island,10307.0,3.0,2.5,2400.0,5850.0,1994.0,1.0,1149000.0,0.23285146017269817,0.5675754341709518
Single Family Residential,College Point,11356.0,3.0,2.0,1296.0,4988.0,1945.0,1.0,899000.0,0.11412469179288481,0.43923916872138075
Single Family Residential,Staten Island,10304.0,4.0,3.0,3000.0,8880.0,1960.0,1.0,1549000.0,0.2911490683229814,0.8618012422360248
Single Family Residential,Staten Island,10312.0,4.0,3.0,1510.0,560.0,1996.0,1.0,508888.0,0.14643134212567882,0.05430566330488751
Multi-Family (2-4 Unit),Brooklyn,11223.0,12.0,4.0,3600.0,2000.0,1931.0,1.0,1788000.0,0.32076984763432237,0.17820547090795688
Single Family Residential,Cambria Heights,11411.0,5.0,1.5,1300.0,3000.0,1930.0,1.0,749000.0,0.1139251599333976,0.26290421523091756
Single Family Residential,Bronx,10471.0,5.0,3.0,2049.0,2827.0,1925.0,1.0,1099000.0,0.1956833158246586,0.26998376468341134
Multi-Family (2-4 Unit),Bronx,10460.0,8.0,6.0,2812.0,2500.0,2003.0,1.0,1350000.0,0.2688336520076482,0.2390057361376673
Single Family Residential,Staten Island,10312.0,3.0,2.0,980.0,4100.0,1970.0,1.0,798000.0,0.09503491078355314,0.3975950349107836
Condo/Co-op,Oakland Gardens,11364.0,6.0,4.5,3637.0,80480.0,1978.0,1.0,1588000.0,0.32004575853572687,7.082013375571981
Townhouse,Staten Island,10307.0,4.0,2.0,2288.0,4444.0,1901.0,1.0,729000.0,0.22198505869797225,0.4311632870864461
Multi-Family (2-4 Unit),Yonkers,10705.0,3.0,2.0,2604.0,5227.0,1936.0,1.0,699000.0,0.24325081737505838,0.48827650630546476
Single Family Residential,Staten Island,10314.0,2.0,2.5,1100.0,3040.0,1915.0,1.0,698125.0,0.10665115377157262,0.2947450067868916
Single Family Residential,Jamaica,11433.0,2.0,2.0,1300.0,3000.0,1955.0,1.0,559000.0,0.1137059389486574,0.26239832065074786
Single Family Residential,Saint Albans,11412.0,3.0,2.5,1350.0,1800.0,1940.0,1.0,749000.0,0.11829652996845426,0.15772870662460567
Single Family Residential,Staten Island,10303.0,2.0,1.5,1404.0,980.0,1992.0,1.0,459999.0,0.13627098903232068,0.09511792681743182
Multi-Family (2-4 Unit),Flushing,11368.0,7.0,5.0,3150.0,1583.0,2003.0,1.0,1499000.0,0.2770935960591133,0.13925052779732583
Single Family Residential,Brooklyn,11228.0,3.0,2.5,1440.0,3303.0,1915.0,1.0,1350000.0,0.1282508015675098,0.2941752760954756
Multi-Family (2-4 Unit),Brooklyn,11214.0,6.0,4.0,3120.0,4495.0,1935.0,1.0,1575000.0,0.2782236490101659,0.4008382379168896
Single Family Residential,Bellerose,11426.0,4.0,3.0,2102.0,4040.0,1945.0,1.0,900000.0,0.18396639243829863,0.353579555399965
Multi-Family (2-4 Unit),Bronx,10469.0,5.0,2.0,2034.0,1847.0,1945.0,1.0,695000.0,0.1942878976024453,0.17642563759671412
Condo/Co-op,Corona,11368.0,2.0,1.0,680.0,2500.0,2006.0,1.0,439000.0,0.059817030260380016,0.2199155524278677
Single Family Residential,Bronx,10465.0,3.0,2.5,1728.0,2520.0,1950.0,1.0,749999.0,0.16512183468705208,0.2408026755852843
Single Family Residential,Woodhaven,11421.0,3.0,2.5,1336.0,2000.0,1920.0,1.0,768000.0,0.1169774975921548,0.17511601435951318
Multi-Family (2-4 Unit),Fresh Meadows,11366.0,4.0,2.5,1800.0,2200.0,1940.0,1.0,1188000.0,0.15836705965159248,0.19355973957416858
Multi-Family (2-4 Unit),Brooklyn,11223.0,8.0,4.5,3135.0,2100.0,1965.0,1.0,2100000.0,0.2793370756482224,0.18711574445335472
Single Family Residential,Staten Island,10309.0,3.0,1.5,1440.0,1600.0,1988.0,1.0,539900.0,0.13968377146182948,0.15520419051314385
Single Family Residential,Staten Island,10301.0,4.0,4.5,6000.0,13200.0,1992.0,2.0,2890000.0,0.582467721580429,1.281428987476944
Townhouse,Staten Island,10308.0,5.0,4.0,2470.0,2799.0,1985.0,2.0,999000.0,0.2396197128443927,0.27153667054714786
Multi-Family (2-4 Unit),Bronx,10461.0,7.0,4.0,2750.0,2226.0,1925.0,2.0,1250000.0,0.2628811777076761,0.21279036420992256
Townhouse,Staten Island,10309.0,3.0,2.5,1832.0,2835.0,1999.0,2.0,735000.0,0.17770879813754972,0.2750024250654768
Multi-Family (2-4 Unit),Bayside,11361.0,4.0,4.5,1598.0,2500.0,2005.0,2.0,1430000.0,0.14065663233870257,0.22005105184402782
Multi-Family (2-4 Unit),Fort Greene,11238.0,7.0,7.0,4700.0,2000.0,1931.0,2.0,4300000.0,0.4182238832532479,0.1779676098949991
Single Family Residential,Queens Village,11427.0,3.0,1.5,1300.0,3000.0,1930.0,2.0,725000.0,0.11376564277588168,0.26253609871357314
Multi-Family (2-4 Unit),Bronx,10465.0,4.0,4.0,3400.0,2500.0,1930.0,2.0,1375000.0,0.3248924988055423,0.23889154323936931
Condo/Co-op,Elmhurst,11373.0,1.0,1.0,495.0,4000.0,2007.0,2.0,488000.0,0.04352413611184384,0.3517101908027785
Single Family Residential,Far Rockaway,11691.0,2.0,1.0,525.0,1825.0,1905.0,2.0,580000.0,0.04490633820887863,0.15610298520229235
Townhouse,Staten Island,10305.0,6.0,4.5,2187.0,4704.0,1970.0,2.0,1100000.0,0.21222707423580786,0.4564774381368268
Multi-Family (2-4 Unit),Brooklyn,11204.0,4.0,3.0,1440.0,1800.0,1925.0,2.0,1180000.0,0.12852552659764369,0.16065690824705461
Condo/Co-op,New York,10023.0,2.0,2.0,1209.0,14109.0,1987.0,2.0,1900000.0,0.12062256809338522,1.407662376533972
